,data,stato,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido
32,2020-03-27T17:00:00,ITA,26029,3732,29761,36653,66414,4401,5959,10950,9134,,,86498,394079,,,,,,,,,
33,2020-03-28T17:00:00,ITA,26676,3856,30532,39533,70065,3651,5974,12384,10023,,,92472,429526,,,,,,,,,
34,2020-03-29T17:00:00,ITA,27386,3906,31292,42588,73880,3815,5217,13030,10779,,,97689,454030,,pd-IT-0009,,,,,,,
35,2020-03-30T17:00:00,ITA,27795,3981,31776,43752,75528,1648,4050,14620,11591,,,101739,477359,,,,,,,,,
36,2020-03-31T17:00:00,ITA,28192,4023,32215,45420,77635,2107,4053,15729,12428,,,105792,506968,,,,,,,,,
37,2020-04-01T17:00:00,ITA,28403,4035,32438,48134,80572,2937,4782,16847,13155,,,110574,541423,,,,,,,,,
38,2020-04-02T17:00:00,ITA,28540,4053,32593,50456,83049,2477,4668,18278,13915,,,115242,581232,,,,,,,,,
39,2020-04-03T17:00:00,ITA,28741,4068,32809,52579,85388,2339,4585,19758,14681,,,119827,619849,,,,,,,,,
40,2020-04-04T17:00:00,ITA,29010,3994,33004,55270,88274,2886,4805,20996,15362,,,124632,657224,,,,,,,,,
41,2020-04-05T17:00:00,ITA,28949,3977,32926,58320,91246,2972,4316,21815,15887,,,128948,691461,,,,,,,,,
42,2020-04-06T17:00:00,ITA,28976,3898,32874,60313,93187,1941,3599,22837,16523,,,132547,721732,,,,,,,,,
43,2020-04-07T17:00:00,ITA,28718,3792,32510,61557,94067,880,3039,24392,17127,,,135586,755445,,,,,,,,,
44,2020-04-08T17:00:00,ITA,28485,3693,32178,63084,95262,1195,3836,26491,17669,,,139422,807125,,,,,,,,,
45,2020-04-09T17:00:00,ITA,28399,3605,32004,64873,96877,1615,4204,28470,18279,,,143626,853369,,,,,,,,,
46,2020-04-10T17:00:00,ITA,28242,3497,31739,66534,98273,1396,3951,30455,18849,,,147577,906864,,pd-IT-0011,,,,,,,
47,2020-04-11T17:00:00,ITA,28144,3381,31525,68744,100269,1996,4694,32534,19468,,,152271,963473,,,,,,,,,
48,2020-04-12T17:00:00,ITA,27847,3343,31190,71063,102253,1984,4092,34211,19899,,,156363,1010193,,dc-IT-0003,,,,,,,
49,2020-04-13T17:00:00,ITA,28023,3260,31283,72333,103616,1363,3153,35435,20465,,,159516,1046910,,,,,,,,,
50,2020-04-14T17:00:00,ITA,28011,3186,31197,73094,104291,675,2972,37130,21067,,,162488,1073689,,,,,,,,,
51,2020-04-15T17:00:00,ITA,27643,3079,30722,74696,105418,1127,2667,38092,21645,,,165155,1117404,,dc-IT-0005,,,,,,,
52,2020-04-16T17:00:00,ITA,26893,2936,29829,76778,106607,1189,3786,40164,22170,,,168941,1178403,,,,,,,,,
53,2020-04-17T17:00:00,ITA,25786,2812,28598,78364,106962,355,3493,42727,22745,,,172434,1244108,,,,,,,,,
54,2020-04-18T17:00:00,ITA,25007,2733,27740,80031,107771,809,3491,44927,23227,,,175925,1305833,,,,,,,,,
55,2020-04-19T17:00:00,ITA,25033,2635,27668,80589,108257,486,3047,47055,23660,,,178972,1356541,935310.0,,,,,,,,
257,2020-11-07T17:00:00,ITA,25109,2634,27743,504793,532536,33418,39811,328891,41063,583660.0,318830.0,902490,17183569,10427797.0,,,,,,,,
258,2020-11-08T17:00:00,ITA,26440,2749,29189,529447,558636,26100,32616,335074,41394,601403.0,333701.0,935104,17374713,10547046.0,,,,,,,,
259,2020-11-09T17:00:00,ITA,27636,2849,30485,542849,573334,14698,25271,345289,41750,614843.0,345530.0,960373,17522438,10635747.0,,,,,,,,
260,2020-11-10T17:00:00,ITA,28633,2971,31604,558506,590110,16776,35098,363023,42330,636202.0,359261.0,995463,17740196,10765561.0,,,,,,,,
261,2020-11-11T17:00:00,ITA,29444,3081,32525,580833,613358,23248,32961,372113,42953,657205.0,371219.0,1028424,17965836,10891971.0,,,,,,,,
262,2020-11-12T17:00:00,ITA,29873,3170,33043,602011,635054,21696,37978,387758,43589,674591.0,391810.0,1066401,18200508,11025449.0,,,,,,,,
263,2020-11-13T17:00:00,ITA,30914,3230,34144,629782,663926,28872,40902,399238,44139,697312.0,409991.0,1107303,18455416,11170324.0,,,,,,,,
264,2020-11-14T17:00:00,ITA,31398,3306,34704,653731,688435,24509,37255,411434,44683,718482.0,426070.0,1144552,18683111,11305441.0,,,,,,,,
265,2020-11-15T17:00:00,ITA,32047,3422,35469,677021,712490,24055,33979,420810,45229,736846.0,441683.0,1178529,18878386,11416172.0,,,,,,,,
266,2020-11-16T17:00:00,ITA,32536,3492,36028,681756,717784,5294,27354,442364,45733,751766.0,454115.0,1205881,19031049,11505254.0,,,,,,,,
267,2020-11-17T17:00:00,ITA,33074,3612,36686,697124,733810,16026,32191,457798,46464,770282.0,467790.0,1238072,19239507,11620187.0,,,,,,,,
268,2020-11-18T17:00:00,ITA,33504,3670,37174,705994,743168,9358,34282,481967,47217,784687.0,487665.0,1272352,19474341,11744424.0,,,,,,,,
269,2020-11-19T17:00:00,ITA,33610,3712,37322,724349,761671,18503,36176,498987,47870,802852.0,505676.0,1308528,19724527,11882821.0,,,,,,,,
270,2020-11-20T17:00:00,ITA,33957,3748,37705,739471,777176,15505,37242,520022,48569,825417.0,520350.0,1345767,19962604,11999674.0,,,,,,,,
271,2020-11-21T17:00:00,ITA,34063,3758,37821,753925,791746,14570,34767,539524,49261,844177.0,536354.0,1380531,20199829,12120989.0,,,,,,,,
272,2020-11-22T17:00:00,ITA,34279,3801,38080,767867,805947,14201,28337,553098,49823,858957.0,549911.0,1408868,20388576,12225850.0,,,,,,,,
273,2020-11-23T17:00:00,ITA,34697,3810,38507,758342,796849,-9098,22930,584493,50453,870461.0,561334.0,1431795,20537521,12303705.0,,,,,,,,
274,2020-11-24T17:00:00,ITA,34577,3816,38393,759993,798386,1537,23232,605330,51306,882238.0,572784.0,1455022,20726180,12398952.0,,,,,,,,
275,2020-11-25T17:00:00,ITA,34313,3848,38161,753536,791697,-6689,25853,637149,52028,896155.0,584719.0,1480874,20956187,12513129.0,,,,,,,,
276,2020-11-26T17:00:00,ITA,34038,3846,37884,757961,795845,4148,29003,661180,52850,914390.0,595485.0,1509875,21188898,12623390.0,,,,,,,,
277,2020-11-27T17:00:00,ITA,33684,3782,37466,750427,787893,-7952,28352,696647,53677,928191.0,610026.0,1538217,21411701,12729411.0,,,,,,,,
278,2020-11-28T17:00:00,ITA,33299,3762,37061,752247,789308,1415,26323,720861,54363,942048.0,622484.0,1564532,21637641,12842250.0,,,,,,,,
279,2020-11-29T17:00:00,ITA,32879,3753,36632,759139,795771,6463,20648,734503,54904,958832.0,626346.0,1585178,21814575,12922382.0,,,,,,,,
280,2020-11-30T17:00:00,ITA,33187,3744,36931,751540,788471,-7300,16377,757507,55576,966577.0,634977.0,1601554,21945099,12986634.0,,,,,,,,
281,2020-12-01T17:00:00,ITA,32811,3663,36474,743471,779945,-8526,19350,784595,56361,971784.0,649117.0,1620901,22127199,13071746.0,,,,,,,,
282,2020-12-02T17:00:00,ITA,32454,3616,36070,725160,761230,-18715,20709,823335,57045,988470.0,653140.0,1641610,22334342,13167345.0,,,,,,,,
283,2020-12-03T17:00:00,ITA,31772,3597,35369,724613,759982,-1248,23225,846809,58038,0.0,0.0,1664829,22554389,13264937.0,,217.0,,,,,,
284,2020-12-04T17:00:00,ITA,31200,3567,34767,722935,757702,-2280,24099,872385,58852,,,1688939,22767130,13348428.0,,201.0,,,,,,
285,2020-12-05T17:00:00,ITA,30158,3517,33675,720494,754169,-3533,21052,896308,59514,,,1709991,22962114,14243149.0,,192.0,,,,,,
286,2020-12-06T17:00:00,ITA,30391,3454,33845,721461,755306,1137,18887,913494,60078,,,1728878,23125664,13510154.0,,150.0,,,,,,
287,2020-12-07T17:00:00,ITA,30524,3382,33906,714913,748819,-6487,13720,933132,60606,,,1742557,23236881,13563263.0,,144.0,,,,,,
288,2020-12-08T17:00:00,ITA,30081,3345,33426,704099,737525,-11294,14842,958629,61240,,,1757394,23386113,13622814.0,,192.0,,,,,,
289,2020-12-09T17:00:00,ITA,29653,3320,32973,677542,710515,-27010,12756,997895,61739,,,1770149,23504588,13673746.0,,152.0,,,,,,
290,2020-12-10T17:00:00,ITA,29088,3291,32379,664148,696527,-13988,16999,1027994,62626,,,1787147,23676174,13744859.0,,251.0,,,,,,
291,2020-12-11T17:00:00,ITA,28562,3265,31827,658496,690323,-6204,18727,1052163,63387,,,1805873,23866590,13823013.0,,208.0,,,,,,
292,2020-12-12T17:00:00,ITA,28066,3199,31265,653583,684848,-5475,19903,1076891,64036,,,1825775,24063029,13901576.0,,195.0,,,,,,
293,2020-12-13T17:00:00,ITA,27735,3158,30893,655138,686031,1183,17938,1093161,64520,,,1843712,24215726,13971600.0,,152.0,,,,,,
294,2020-12-14T17:00:00,ITA,27765,3095,30860,644249,675109,-10922,12030,1115617,65011,,,1855737,24319310,14022752.0,,138.0,,,,,,
295,2020-12-15T17:00:00,ITA,27342,3003,30345,632968,663313,-11796,14844,1141406,65857,,,1870576,24483741,14086989.0,,199.0,,,,,,
296,2020-12-16T17:00:00,ITA,26897,2926,29823,615883,645706,-17607,17572,1175901,66537,,,1888144,24683230,14165961.0,,191.0,,,,,,
297,2020-12-17T17:00:00,ITA,26427,2855,29282,606061,635343,-10363,18236,1203814,67220,,,1906377,24635720,14246739.0,,183.0,,,,,,
298,2020-12-18T17:00:00,ITA,25769,2819,28588,599210,627798,-7545,17992,1226086,67894,,,1921778,24815520,14150088.0,,189.0,,,,,,
299,2020-12-19T17:00:00,ITA,25364,2784,28148,592018,620166,-7632,16308,1249470,68447,,,1938083,24991705,14225200.0,,160.0,,,,,,
300,2020-12-20T17:00:00,ITA,25158,2743,27901,594859,622760,2594,15104,1261626,68799,,,1953185,25129125,14289494.0,,121.0,,,,,,
301,2020-12-21T17:00:00,ITA,25145,2731,27876,585706,613582,-9178,10872,1281258,69214,,,1964054,25217014,14331832.0,,161.0,,,,,,
385,2021-03-15T17:00:00,ITA,25338,3157,28495,501862,530357,-909,15267,2605538,102499,,,3238394,44802319,21197794.0,,243.0,,,3156427.0,81967.0,37381879.0,7420440.0
386,2021-03-16T17:00:00,ITA,26098,3256,29354,506761,536115,5758,20396,2619654,103001,,,3258770,45171694,21306662.0,,319.0,,,3173640.0,85130.0,37564451.0,7607243.0
387,2021-03-17T17:00:00,ITA,26517,3317,29834,509174,539008,2893,23059,2639370,103432,,,3281810,45540778,21424371.0,,324.0,,,3193783.0,88027.0,37770144.0,7770634.0
388,2021-03-18T17:00:00,ITA,26694,3333,30027,517483,547510,8502,24935,2655346,103855,,,3306711,45894515,21544881.0,,249.0,,,3216436.0,90275.0,37977385.0,7917130.0
389,2021-03-19T17:00:00,ITA,26858,3364,30222,526317,556539,9029,25735,2671638,104241,,,3332418,46259337,21662182.0,,244.0,,,3241105.0,91313.0,38182937.0,8076400.0
390,2021-03-20T17:00:00,ITA,27061,3387,30448,535005,565453,8914,23832,2686236,104642,,,3356331,46613817,21779015.0,,243.0,,,3261607.0,94724.0,38384580.0,8229237.0
391,2021-03-21T17:00:00,ITA,27484,3448,30932,540740,571672,6219,20159,2699762,104942,,,3376376,46890903,21873168.0,,232.0,,,3280621.0,95755.0,38553755.0,8337148.0
392,2021-03-22T17:00:00,ITA,28049,3510,31559,531508,563067,-8605,13846,2732482,105328,,,3400877,47060099,22071115.0,,227.0,,,3304516.0,96361.0,38660491.0,8399608.0
393,2021-03-23T17:00:00,ITA,28428,3546,31974,528680,560654,-2413,18765,2753083,105879,,,3419616,47395288,22173158.0,,317.0,,,3320537.0,99079.0,38835012.0,8560276.0
394,2021-03-24T17:00:00,ITA,28438,3588,32026,529282,561308,654,21267,2773215,106339,,,3440862,47759055,22288369.0,,300.0,,,3339718.0,101144.0,39048757.0,8710298.0
395,2021-03-25T17:00:00,ITA,28424,3620,32044,530914,562958,1650,23798,2794888,106799,,,3464645,48108527,22406066.0,,260.0,,,3361632.0,103013.0,39251933.0,8856594.0
396,2021-03-26T17:00:00,ITA,28472,3628,32100,534611,566711,3753,23987,2814652,107256,,,3488619,48463509,22517146.0,,288.0,,,3383796.0,104823.0,39457565.0,9005944.0
397,2021-03-27T17:00:00,ITA,28621,3635,32256,539559,571815,5104,23776,2832939,107636,,,3512390,48820585,22628080.0,,264.0,,,3405598.0,106792.0,39659139.0,9161446.0
398,2021-03-28T17:00:00,ITA,28701,3679,32380,540792,573172,1357,19611,2850889,107933,,,3531994,49093288,22718743.0,,217.0,,,3424148.0,107846.0,39824080.0,9269208.0
399,2021-03-29T17:00:00,ITA,29163,3721,32884,533046,565930,-7242,12916,2870614,108350,,,3544894,49249985,22773499.0,,192.0,,,3436648.0,108246.0,39924265.0,9325720.0
400,2021-03-30T17:00:00,ITA,29231,3716,32947,529818,562765,-3165,16013,2889301,108879,,,3560945,49551432,22863292.0,,269.0,,,3450606.0,110339.0,40078910.0,9472522.0
401,2021-03-31T17:00:00,ITA,29180,3710,32890,528163,561053,-1712,22516,2913045,109346,,,3583444,49902497,22964130.0,,283.0,,,3470672.0,112772.0,40284548.0,9617949.0
402,2021-04-01T17:00:00,ITA,28949,3681,32630,530849,563479,2426,23649,2933757,109847,,,3607083,50258742,23069406.0,,244.0,,,3492698.0,114385.0,40489835.0,9768907.0
403,2021-04-02T17:00:00,ITA,28704,3704,32408,532887,565295,1816,21932,2953377,110328,,,3629000,50589896,23169464.0,,232.0,,,3513146.0,115854.0,40682634.0,9907262.0
404,2021-04-03T17:00:00,ITA,28489,3714,32203,532652,564855,-440,21261,2974688,110704,,,3650247,50949110,23272337.0,,234.0,,,3533001.0,117246.0,40872898.0,10076212.0
405,2021-04-04T17:00:00,ITA,28432,3703,32135,536900,569035,4180,18025,2988199,111030,,,3668264,51200043,23356679.0,,195.0,,,3550081.0,118183.0,41028285.0,10171758.0
406,2021-04-05T17:00:00,ITA,28785,3737,32522,537574,570096,1061,10680,2997522,111326,,,3678944,51302838,23394151.0,,192.0,,,3560533.0,118411.0,41106214.0,10196624.0
407,2021-04-06T17:00:00,ITA,29337,3743,33080,522625,555705,-14391,7767,3019255,111747,,,3686707,51415800,23425293.0,,221.0,,,3567839.0,118868.0,41176828.0,10238972.0
408,2021-04-07T17:00:00,ITA,29316,3683,32999,514838,547837,-7868,13708,3040182,112374,,,3700393,51755739,23517311.0,,276.0,,,3579829.0,120564.0,41346000.0,10409739.0
409,2021-04-08T17:00:00,ITA,28851,3663,32514,511816,544330,-3507,17221,3060411,112861,,,3717602,52117901,23625279.0,,259.0,,,3595935.0,121667.0,41554856.0,10563045.0
410,2021-04-09T17:00:00,ITA,28146,3603,31749,504612,536361,-7969,18938,3086586,113579,,,3736526,52466904,23732862.0,,192.0,,,3613896.0,122630.0,41756390.0,10710514.0
411,2021-04-10T17:00:00,ITA,27654,3588,31242,501843,533085,-3276,17567,3107069,113923,,,3754077,52801766,23835131.0,,186.0,,,3630408.0,123669.0,41945129.0,10856637.0
412,2021-04-11T17:00:00,ITA,27251,3585,30836,502169,533005,-80,15746,3122555,114254,,,3769814,53054866,23920532.0,,175.0,,,3645548.0,124266.0,42107589.0,10947277.0
413,2021-04-12T17:00:00,ITA,27329,3593,30922,493495,524417,-8588,9789,3140565,114612,,,3779594,53245501,23970623.0,,167.0,,,3655050.0,124544.0,42200462.0,11045039.0
414,2021-04-13T17:00:00,ITA,26952,3526,30478,488742,519220,-5197,13447,3158725,115088,,,3793033,53550491,24058301.0,,242.0,,,3667114.0,125919.0,42353108.0,11197383.0
415,2021-04-14T17:00:00,ITA,26369,3490,29859,484801,514660,-4560,16168,3178976,115557,,,3809193,53885257,24160306.0,,216.0,,,3682451.0,126742.0,42550896.0,11334361.0
416,2021-04-15T17:00:00,ITA,25587,3417,29004,481019,510023,-4637,16974,3200196,115937,,,3826156,54204890,24260858.0,,211.0,,,3698718.0,127438.0,42736949.0,11467941.0
